x,u_initial,u_numerical,u_analytical,error
0.76,-1.0606933452104232,NaN,-0.0019573631420339776,NaN
0.77,-1.1164596448969053,NaN,-0.0019457682782516527,NaN
0.78,-1.1663495270710273,NaN,-0.0019264943560120377,NaN
0.79,-1.209459998179489,NaN,-0.0018996174406807947,NaN
0.8,-1.24494914244139,NaN,-0.0018652436031638424,NaN
0.81,-1.2720500388525955,NaN,-0.001823508501293947,NaN
0.82,-1.290083673853914,NaN,-0.0017745768444512341,NaN
0.83,-1.2984706427948711,NaN,-0.0017186417435305155,NaN
0.84,-1.2967414517350249,NaN,-0.0016559239488208068,NaN
0.85,-1.2845452525225243,NaN,-0.0015866709788047943,NaN
0.86,-1.261656868140134,NaN,-0.0015111561433164577,NaN
0.87,-1.2279819916355472,NaN,-0.001429677464912022,NaN
0.88,-1.1835604701428246,NaN,-0.0013425565027110837,NaN
0.89,-1.128567615113034,NaN,-0.0012501370833496665,NaN
0.9,-1.0633135104400502,NaN,-0.0011527839440535759,NaN
0.91,-0.9882403212120071,NaN,-0.0010508812931871933,NaN
0.92,-0.9039176368527229,NaN,-0.0009448312939585944,NaN
0.93,-0.8110359129529678,NaN,-0.000835052477265101,NaN
0.94,-0.7103981056490221,NaN,-0.000721978089943029,NaN
0.95,-0.6029096205211844,NaN,-0.0006060543849403677,NaN
0.96,-0.4895667242157135,NaN,-0.0004877388601602581,NaN
0.97,-0.3714435909280637,NaN,-0.0003674984529257839,NaN
0.98,-0.24967817714673246,NaN,-0.0002458076971916861,NaN
0.99,-0.12545713631146527,NaN,-0.00012314685077562587,NaN
1.0,-4.898587196589413e-16,NaN,-4.803635891467401e-19,NaN
