time,max_amplitude,energy,theoretical_decay
0.0001,1.6146324219728816,1.038400144235453,1.111080091544764
0.0002,2.521641774392481,2.786410637579091,0.9507330617579037
0.00030000000000000003,4.19209168581382,7.628357362873244,0.813526730969368
0.0004,6.933413774312576,20.899681008423947,0.6961215178296123
0.0005,11.478178860327363,57.26116223721012,0.5956597971992753
0.0006000000000000001,18.99857148668323,156.8848824424503,0.5096963459852822
0.0007,31.447333370660107,429.8352720719742,0.4361388267804094
0.0008,52.0527695348285,1177.6683546061515,0.37319686068709723
0.0009000000000000001,86.15974545319152,3226.5913097927837,0.3193384497657404
0.001,142.61488878899368,8840.25747973152,0.2732526884364331
0.0011,236.06160095109877,24220.654184102277,0.2338178562353278
0.0012000000000000001,390.73815798765025,66360.06818254606,0.20007411530811903
0.0013000000000000002,646.7646908850306,181814.1911328958,0.17120014810177012
0.0014,1070.54956544869,498136.92183618486,0.14649316661943348
0.0015,1772.014440970037,1.364802116657466e6,0.1253518066668495
0.0016,2933.105836767485,3.7393028622867446e6,0.10726149073876837
0.0017000000000000001,4854.988566020373,1.024499136193144e7,0.09178190328026212
0.0018000000000000002,8036.162105265199,2.806936262495523e7,0.07853627347268133
0.0019,13301.761786704052,7.690481039335668e7,0.06720220468888685
0.002,22017.583059243792,2.107048150919238e8,0.05750382740808261
0.0021000000000000003,36444.34260261908,5.772918348781193e8,0.04920508459338351
0.0022,60324.064824208726,1.5816717926998181e9,0.042103986099223015
0.0023,99850.69113787713,4.3334852646074505e9,0.03602769226174527
0.0024000000000000002,165276.66943174973,1.1872940154357632e10,0.030828307007515682
0.0025,273572.2421882713,3.2529638224533913e10,0.026379278085451312
0.0026000000000000003,452827.2015252378,8.91251323818551e10,0.022572316804160702
0.0027,749536.8419062283,2.441862146532853e11,0.019314762301565792
0.0028,1.2406619467326e6,6.690246155391217e11,0.01652732619352668
0.0029000000000000002,2.0535909378010116e6,1.833002476544111e12,0.014142162706557826
0.003,3.399181985842749e6,5.022084391183679e12,0.012101217321957984
0.0031000000000000003,5.626455571240166e6,1.375957313473933e13,0.010354813737601174
0.0032,9.313123694864329e6,3.769866017835887e13,0.008860444754252657
0.0033,1.541543727827116e7,1.0328728699110933e14,0.007581737656765496
0.0034000000000000002,2.5516219291193288e7,2.8298787287158425e14,0.006487568907692416
0.0035,4.223541863774432e7,7.753339111258475e14,0.005551306605089405
0.0036000000000000003,6.990967459517646e7,2.1242700884733562e15,0.004750162266048384
0.0037,1.1571715777405798e8,5.820103240715329e15,0.004064636158468232
0.0038,1.9153944974378768e8,1.5945995717028846e16,0.0034780426805232686
0.0039000000000000003,3.170433971539523e8,4.36890496423774e16,0.002976104235637209
0.004,5.247823141274581e8,1.1969983515148893e17,0.0025466037179409187
0.0041,8.686396868958163e8,3.279551890593863e17,0.0021790871497624036
0.004200000000000001,1.4378055155108902e9,8.98535957838837e17,0.001864609233390664
0.0043,2.3799104873662624e9,2.461820683018534e18,0.0015955156238816862
0.0044,3.939318542897385e9,6.744928817217808e18,0.0013652566234596175
0.0045000000000000005,6.520510189905889e9,1.847984504442378e19,0.0011682277628630563
0.0046,1.0792996981163166e10,5.063132349064262e19,0.0009996333894104635
0.0047,1.786497995679899e10,1.387203687179954e20,0.0008553699415388643
0.0048000000000000004,2.9570795716997055e10,3.800678981029222e20,0.0007319260687357564
0.0049,4.894670811866839e10,1.0413150462572174e21,0.0006262971657984536
0.005,8.101845682691321e10,2.853008714953672e21,0.0005359122411976649
0.0051,1.3410483769948105e11,7.816710953001636e21,0.0004585713395323384
0.005200000000000001,2.2197543872878754e11,2.1416327893599648e22,0.00039239199494777214
0.0053,3.67422206833598e11,5.867673797892567e22,0.0003357634122012864
0.0054,6.081712413639836e11,1.6076330157771836e23,0.0002873072601495251
0.0055000000000000005,1.006668220108244e12,4.404614166429414e23,0.00024584412337679603
0.0056,1.666275609490002e12,1.2067820058876948e24,0.00021036479540214367
0.0057,2.7580829045080054e12,3.3063572760441315e24,0.00018000571474616962
0.0058000000000000005,4.565283960168113e12,9.058801327425291e24,0.00015402794597517175
0.0059,7.556632042924619e12,2.4819423504029093e25,0.0001317991941243925
0.006,1.25080254332248e13,6.800058427242375e25,0.00011277841473416361
0.0061,2.0703760552880074e13,1.8630889878009037e26,9.650264490954935e-5
0.006200000000000001,3.426965381873721e13,5.1045158120351166e26,8.257573487347044e-5
0.0063,5.672443764607098e13,1.3985419830139185e27,7.065870574101683e-5
0.0064,9.38924521550779e13,3.831743793684111e27,6.0461498824633674e-5
0.006500000000000001,1.5541436732339303e14,1.049826224651589e28,5.173591564951554e-5
0.0066,2.5724778797049006e14,2.876327753915589e28,4.426957684024969e-5
0.0067,4.25806350634996e14,7.880600763890717e28,3.7880752838924965e-5
0.0068000000000000005,7.048109148493404e14,2.1591374041187284e29,3.24139406351649e-5
0.006900000000000001,1.1666299168036168e15,5.915633172568769e29,2.7736078846362487e-5
0.007,1.9310503563253408e15,1.6207729885844926e30,2.373330902374328e-5
0.0071,3.196348252694916e15,4.440615237443777e30,2.0308204354934056e-5
0.007200000000000001,5.290717652453355e15,1.2166456268657272e31,1.7377398310078337e-5
0.0073,8.757397893366225e15,3.3333817550553064e31,1.486955551310208e-5
0.0074,1.4495579515321332e16,9.132843351896906e31,1.272363544944418e-5
0.007500000000000001,2.3993637131826212e16,2.5022284820452964e32,1.0887406749159732e-5
0.0076,3.971518543903736e16,6.855638638605798e32,9.316175883271394e-6
0.0077,6.5738093973855624e16,1.87831692750637e33,7.971699330030614e-6
