x,u_initial,u_final_numerical,u_final_analytical,error
0.56,-0.02585099972033361,-3.33384760314148e272,-7.572261913521485e-69,3.33384760314148e272
0.57,-0.04052267017717803,-3.017483285882003e272,-8.758210474067499e-69,3.017483285882003e272
0.58,-0.05958971135070762,-2.6631057294280714e272,-9.909594379118123e-69,2.6631057294280714e272
0.59,-0.08341326874598676,-2.2750209924731064e272,-1.1021869642417409e-68,2.2750209924731064e272
0.6,-0.11225699414489626,-1.8579400060315328e272,-1.2090646621651337e-68,1.8579400060315328e272
0.61,-0.14628036438434533,-1.4169195728642e272,-1.3111707342360624e-68,1.4169195728642e272
0.62,-0.18553374171455295,-9.572989586001078e271,-1.4081022144358906e-68,9.572989586001078e271
0.63,-0.22995526320727555,-4.846328433408412e271,-1.4994765584960497e-68,4.846328433408412e271
0.64,-0.27936961741144506,-4.621445476974714e269,-1.5849331536255032e-68,4.621445476974714e269
0.65,-0.3334887362273705,4.769613378047845e271,-1.6641347416846774e-68,4.769613378047845e271
0.66,-0.39191439926900473,9.543409067187538e271,-1.7367687501892674e-68,9.543409067187538e271
0.67,-0.45414271729285605,1.421815173975368e272,-1.8025485258910289e-68,1.421815173975368e272
0.68,-0.5195704310781245,1.8738271408610284e272,-1.8612144660671858e-68,1.8738271408610284e272
0.69,-0.5875029329239072,2.305035967413614e272,-1.9125350430537836e-68,2.305035967413614e272
0.7,-0.6571638901489169,2.710385691862392e272,-1.9563077179795955e-68,2.710385691862392e272
0.71,-0.7277063240777728,3.085170787363718e272,-1.992359740094523e-68,3.085170787363718e272
0.72,-0.7982249743863498,3.4250977873739764e272,-2.0205488285378823e-68,3.4250977873739764e272
0.73,-0.86776975773205,3.726342264277885e272,-2.0407637338559544e-68,3.726342264277885e272
0.74,-0.9353601116461197,3.985600508535871e272,-2.0529246770527625e-68,3.985600508535871e272
0.75,-0.9999999999999998,4.20013532692227e272,-2.0569836644413143e-68,4.20013532692227e272
0.76,-1.0606933452104232,4.3678154575909527e272,-2.0529246770527625e-68,4.3678154575909527e272
0.77,-1.1164596448969053,4.487148185832519e272,-2.040763733855955e-68,4.487148185832519e272
0.78,-1.1663495270710273,4.557304836507041e272,-2.0205488285378823e-68,4.557304836507041e272
0.79,-1.209459998179489,4.57813891621473e272,-1.9923597400945236e-68,4.57813891621473e272
0.8,-1.24494914244139,4.550196779220946e272,-1.9563077179795955e-68,4.550196779220946e272
0.81,-1.2720500388525955,4.474720794864124e272,-1.9125350430537836e-68,4.474720794864124e272
0.82,-1.290083673853914,4.353645099508948e272,-1.861214466067186e-68,4.353645099508948e272
0.83,-1.2984706427948711,4.189584121922325e272,-1.8025485258910293e-68,4.189584121922325e272
0.84,-1.2967414517350249,3.9858141761191974e272,-1.7367687501892678e-68,3.9858141761191974e272
0.85,-1.2845452525225243,3.746248519150126e272,-1.6641347416846778e-68,3.746248519150126e272
0.86,-1.261656868140134,3.4754063719291184e272,-1.5849331536255036e-68,3.4754063719291184e272
0.87,-1.2279819916355472,3.178376498034689e272,-1.4994765584960504e-68,3.178376498034689e272
0.88,-1.1835604701428246,2.860776027541912e272,-1.4081022144358912e-68,2.860776027541912e272
0.89,-1.128567615113034,2.528705299530881e272,-1.3111707342360624e-68,2.528705299530881e272
0.9,-1.0633135104400502,2.18869957724461e272,-1.2090646621651343e-68,2.18869957724461e272
0.91,-0.9882403212120071,1.847678563331744e272,-1.1021869642417423e-68,1.847678563331744e272
0.92,-0.9039176368527229,1.5128947087310263e272,-9.909594379118132e-69,1.5128947087310263e272
0.93,-0.8110359129529678,1.1918813672008423e272,-8.758210474067506e-69,1.1918813672008423e272
0.94,-0.7103981056490221,8.92401898084932e271,-7.572261913521484e-69,8.92401898084932e271
0.95,-0.6029096205211844,6.2240086261104834e271,-6.356429094640208e-69,6.2240086261104834e271
0.96,-0.4895667242157135,3.899584939871265e271,-5.115510354098611e-69,3.899584939871265e271
0.97,-0.3714435909280637,2.0324964910766948e271,-3.8544030312437464e-69,2.0324964910766948e271
0.98,-0.24967817714673246,7.0508470309290565e270,-2.578084140533825e-69,7.0508470309290565e270
0.99,-0.12545713631146527,0.0,-1.291590729535807e-69,1.291590729535807e-69
1.0,-4.898587196589413e-16,0.0,-5.038156921112898e-84,5.038156921112898e-84
